NEW SOUTH WALES,LGA,"Persons, 0-4 yearsNumber",Total persons,%,,"Persons, 5-9 yearsNumber",Total persons,%,,"Persons, 10-14 yearsNumber",Total persons,%,,"Persons, 15-19 yearsNumber",Total persons,%,,"Persons, 20-24 yearsNumber",Total persons,%,,"Persons, 25-29 yearsNumber",Total persons,%,,"Persons, 30-34 yearsNumber",Total persons,%,,"Persons, 35-39 yearsNumber",Total persons,%,,"Persons, 40-44 yearsNumber",Total persons,%,,"Persons, 45-49 yearsNumber",Total persons,%,,"Persons, 50-54 yearsNumber",Total persons,%,,"Persons, 55-59 yearsNumber",Total persons,%,,"Persons, 60-64 yearsNumber",Total persons,%,,"Persons, 65-69 yearsNumber",Total persons,%,,"Persons, 70-74 yearsNumber",Total persons,%,,"Persons, 75-79 yearsNumber",Total persons,%,,"Persons, 80-84 yearsNumber",Total persons,%,,"Persons, 85 years and overNumber",Total persons,%
12000,Coolamon (A),256,4368,5.860805861,,284,4368,6.501831502,,348,4368,7.967032967,,301,4368,6.891025641,,188,4368,4.304029304,,223,4368,5.105311355,,186,4368,4.258241758,,204,4368,4.67032967,,271,4368,6.204212454,,276,4368,6.318681319,,304,4368,6.95970696,,290,4368,6.639194139,,259,4368,5.929487179,,269,4368,6.158424908,,254,4368,5.815018315,,194,4368,4.441391941,,128,4368,2.93040293,,133,4368,3.044871795
12150,Coonamble (A),359,4014,8.94369706,,257,4014,6.402590932,,282,4014,7.025411061,,230,4014,5.729945192,,188,4014,4.683607374,,228,4014,5.680119581,,239,4014,5.954160438,,209,4014,5.206776283,,185,4014,4.608868959,,269,4014,6.701544594,,279,4014,6.950672646,,291,4014,7.249626308,,275,4014,6.851021425,,217,4014,5.406078724,,214,4014,5.331340309,,130,4014,3.238664674,,81,4014,2.01793722,,81,4014,2.01793722
13510,Cootamundra-Gundagai Regional(A),596,11260,5.293072824,,685,11260,6.08348135,,792,11260,7.03374778,,649,11260,5.763765542,,512,11260,4.547069272,,493,11260,4.378330373,,512,11260,4.547069272,,564,11260,5.008880995,,559,11260,4.964476021,,696,11260,6.181172291,,688,11260,6.110124334,,822,11260,7.30017762,,799,11260,7.095914742,,826,11260,7.335701599,,695,11260,6.172291297,,607,11260,5.390763766,,359,11260,3.188277087,,406,11260,3.605683837
12350,Cowra (A),737,12767,5.77269523,,772,12767,6.046839508,,819,12767,6.41497611,,728,12767,5.702200987,,696,12767,5.45155479,,642,12767,5.028589332,,568,12767,4.448970001,,600,12767,4.699616198,,664,12767,5.200908592,,771,12767,6.039006814,,843,12767,6.602960758,,898,12767,7.03375891,,902,12767,7.065089684,,916,12767,7.174747396,,798,12767,6.250489543,,595,12767,4.66045273,,415,12767,3.25056787,,403,12767,3.156575546
12380,Cumberland (A),18868,236893,7.964777347,,16195,236893,6.836419818,,13424,236893,5.666693402,,12735,236893,5.375844791,,19250,236893,8.126031584,,24462,236893,10.32618102,,23661,236893,9.988053678,,19464,236893,8.216367727,,14894,236893,6.287226723,,12949,236893,5.466180934,,12437,236893,5.2500496,,11852,236893,5.003102667,,10419,236893,4.398188212,,8095,236893,3.41715458,,6640,236893,2.802953232,,4739,236893,2.00048123,,3288,236893,1.387968408,,3521,236893,1.48632505
18230,Dubbo Regional (A),4035,53240,7.578888054,,3873,53240,7.27460556,,3507,53240,6.587152517,,3203,53240,6.016153268,,3441,53240,6.463185575,,3980,53240,7.475582269,,3680,53240,6.912096168,,3200,53240,6.010518407,,3016,53240,5.664913599,,3262,53240,6.126972201,,3121,53240,5.862133734,,3403,53240,6.391810669,,2944,53240,5.529676935,,2553,53240,4.795266717,,2139,53240,4.017655898,,1642,53240,3.084147258,,1077,53240,2.022915101,,1164,53240,2.186326071
12700,Dungog (A),525,9346,5.617376418,,625,9346,6.687352878,,626,9346,6.698052643,,624,9346,6.676653114,,429,9346,4.590199016,,346,9346,3.702118553,,479,9346,5.125187246,,510,9346,5.456879949,,533,9346,5.702974535,,634,9346,6.78365076,,663,9346,7.093943933,,768,9346,8.217419217,,701,9346,7.500534988,,645,9346,6.90134817,,480,9346,5.13588701,,346,9346,3.702118553,,239,9346,2.557243741,,173,9346,1.851059277
12730,Edward River (A),538,8995,5.981100611,,543,8995,6.036687048,,549,8995,6.103390773,,510,8995,5.669816565,,496,8995,5.514174541,,537,8995,5.969983324,,453,8995,5.036131184,,449,8995,4.991662034,,453,8995,5.036131184,,598,8995,6.648137854,,523,8995,5.814341301,,656,8995,7.292940523,,669,8995,7.437465258,,604,8995,6.714841579,,466,8995,5.18065592,,355,8995,3.946637021,,334,8995,3.713173986,,262,8995,2.912729294
12750,Eurobodalla (A),1642,38288,4.288549937,,1933,38288,5.048579189,,2070,38288,5.406393648,,1962,38288,5.124320936,,1311,38288,3.42404931,,1317,38288,3.439720017,,1370,38288,3.578144588,,1572,38288,4.105725031,,1834,38288,4.790012537,,2243,38288,5.858232344,,2410,38288,6.294400334,,3277,38288,8.558817384,,3613,38288,9.436376933,,3684,38288,9.621813623,,3211,38288,8.386439616,,2133,38288,5.570936064,,1347,38288,3.518073548,,1359,38288,3.54941496
12850,Fairfield (C),12943,210612,6.145423813,,13306,210612,6.317778664,,13619,210612,6.466393178,,14603,210612,6.933603024,,16908,210612,8.028032591,,16323,210612,7.75027064,,13921,210612,6.609784818,,12855,210612,6.103640818,,12722,210612,6.04049152,,13940,210612,6.618806146,,13491,210612,6.405617914,,13795,210612,6.549959167,,12236,210612,5.809735438,,9800,210612,4.653106186,,7121,210612,3.381098893,,5396,210612,2.562057243,,3733,210612,1.772453611,,3900,210612,1.851746339
12870,Federation (A),597,12462,4.790563312,,787,12462,6.315198203,,731,12462,5.86583213,,679,12462,5.448563633,,561,12462,4.501685123,,552,12462,4.429465575,,469,12462,3.76344086,,603,12462,4.838709677,,562,12462,4.509709517,,745,12462,5.978173648,,785,12462,6.299149414,,928,12462,7.446637779,,956,12462,7.671320815,,1018,12462,8.168833253,,921,12462,7.39046702,,667,12462,5.352270904,,478,12462,3.835660408,,423,12462,3.394318729
12900,Forbes (A),671,9910,6.770938446,,704,9910,7.103935419,,674,9910,6.801210898,,701,9910,7.073662967,,551,9910,5.560040363,,517,9910,5.216952573,,500,9910,5.045408678,,538,9910,5.428859738,,485,9910,4.894046418,,582,9910,5.872855701,,597,9910,6.024217962,,650,9910,6.559031282,,578,9910,5.832492432,,636,9910,6.417759839,,523,9910,5.277497477,,393,9910,3.965691221,,360,9910,3.632694248,,250,9910,2.522704339
12930,Georges River (A),9072,158411,5.726875028,,8750,158411,5.523606315,,8261,158411,5.214915631,,9390,158411,5.927618663,,13283,158411,8.385150021,,14935,158411,9.428006893,,12824,158411,8.095397416,,11003,158411,6.945856033,,9484,158411,5.986957976,,9888,158411,6.241990771,,9612,158411,6.067760446,,9457,158411,5.969913705,,8396,158411,5.300136985,,6744,158411,4.257280113,,5788,158411,3.653786669,,4272,158411,2.69678242,,3287,158411,2.074982167,,3965,158411,2.502982747
12950,Gilgandra (A),245,4226,5.797444392,,318,4226,7.52484619,,271,4226,6.412683389,,264,4226,6.24704212,,184,4226,4.353999053,,224,4226,5.300520587,,182,4226,4.306672977,,206,4226,4.874585897,,219,4226,5.182205395,,219,4226,5.182205395,,285,4226,6.743965925,,315,4226,7.453857075,,311,4226,7.359204922,,266,4226,6.294368197,,267,4226,6.318031235,,217,4226,5.134879319,,124,4226,2.934216753,,109,4226,2.579271178
13010,Glen Innes Severn (A),450,8908,5.051638976,,551,8908,6.18545128,,567,8908,6.36506511,,491,8908,5.511899416,,361,8908,4.052537045,,417,8908,4.681185451,,440,8908,4.939380332,,444,8908,4.98428379,,454,8908,5.096542434,,551,8908,6.18545128,,519,8908,5.826223619,,694,8908,7.790749888,,683,8908,7.667265379,,665,8908,7.46519982,,606,8908,6.802873821,,447,8908,5.017961383,,285,8908,3.199371352,,283,8908,3.176919623
13310,Goulburn Mulwaree (A),1809,30852,5.863477246,,1952,30852,6.326980423,,1908,30852,6.184364061,,1803,30852,5.84402956,,1783,30852,5.779203941,,1983,30852,6.427460132,,1922,30852,6.229741994,,1783,30852,5.779203941,,1748,30852,5.665759108,,2160,30852,7.001166861,,1934,30852,6.268637365,,2099,30852,6.803448723,,1936,30852,6.275119927,,1874,30852,6.074160508,,1572,30852,5.09529366,,1112,30852,3.604304421,,707,30852,2.291585635,,767,30852,2.486062492
13340,Greater Hume Shire (A),645,10686,6.035934868,,850,10686,7.954332772,,846,10686,7.916900618,,751,10686,7.027886955,,399,10686,3.733857383,,346,10686,3.23788134,,536,10686,5.015908666,,548,10686,5.128205128,,559,10686,5.231143552,,687,10686,6.428972487,,709,10686,6.634849336,,853,10686,7.982406888,,789,10686,7.38349242,,727,10686,6.80329403,,564,10686,5.277933745,,401,10686,3.752573461,,227,10686,2.124274752,,249,10686,2.3301516
13450,Griffith (C),1957,26882,7.279964288,,1871,26882,6.960047616,,1842,26882,6.852168737,,1680,26882,6.249535005,,1695,26882,6.305334425,,2105,26882,7.830518563,,1881,26882,6.997247229,,1627,26882,6.052377055,,1512,26882,5.624581504,,1633,26882,6.074696823,,1645,26882,6.119336359,,1684,26882,6.26441485,,1471,26882,5.472063091,,1189,26882,4.423034,,960,26882,3.57116286,,711,26882,2.644892493,,664,26882,2.470054311,,755,26882,2.808570791
13550,Gunnedah (A),942,12661,7.440170603,,969,12661,7.6534239,,817,12661,6.452886818,,710,12661,5.607771898,,706,12661,5.576178817,,869,12661,6.863596872,,845,12661,6.674038386,,714,12661,5.639364979,,671,12661,5.299739357,,751,12661,5.931600979,,771,12661,6.089566385,,846,12661,6.681936656,,777,12661,6.136956007,,623,12661,4.920622384,,553,12661,4.367743464,,442,12661,3.491035463,,366,12661,2.890766922,,289,12661,2.282600111
13660,Gwydir (A),350,5349,6.543279118,,347,5349,6.487193868,,351,5349,6.561974201,,261,5349,4.879416713,,235,5349,4.39334455,,219,5349,4.094223219,,246,5349,4.598990466,,243,5349,4.542905216,,275,5349,5.141147878,,327,5349,6.113292204,,348,5349,6.505888951,,420,5349,7.851934941,,374,5349,6.991961114,,385,5349,7.197607029,,380,5349,7.104131613,,272,5349,5.085062629,,170,5349,3.178164143,,146,5349,2.729482146
